Title	Creator	Publisher	Date Original	Date is Approximate?	Description	Subject (LCSH)	Relation	Contributing Institution	Publisher Digital	Source	Listing Code	Resource Identifier	Format Original	Format Digital	Type	Digitization Specifications	Rights	Language	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
My Romance												JW.431a_Piano 1		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/147	147	148.jpg	/ijcw/image/148.jpg
My Romance												JW.431b_Piano 2		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/148	148	149.jpg	/ijcw/image/149.jpg
My Romance												JW.431c_Bass		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/149	149	150.jpg	/ijcw/image/150.jpg
My Romance	Hunter, Frank		1940	y	1 Score (5 p.) + 2 parts	Willaims, Joe (1918-1999); Williams, Joe--Archives; Music--Scores; Jazz--Scores;	Joe Williams Collection	International Jazz Collections	University of Idaho Library	MG 005, Container 31, Folder 431	IJC005	JW.431	Arrangement	image/jpg	Image;StillImage	400 dpi, 8-bit depth grayscale JPG; Minolta PS 7000 Scanner, scanned with  Adobe Photoshop CS2 version 9.0.2, Archival Master file is a TIFF	Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	English			2014-04-17	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/150	150	151.cpd	/ijcw/image/151.cpd
Say it isn't So												JW.099b_Trumpet		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/151	151	152.jpg	/ijcw/image/152.jpg
Say it isn't So												JW.099c_Tenor		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/152	152	153.jpg	/ijcw/image/153.jpg
Say it isn't So												JW.099d_Bass		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/153	153	154.jpg	/ijcw/image/154.jpg
Say it isn't So												JW.099e_Piano		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/154	154	155.jpg	/ijcw/image/155.jpg
Say it isn't So												JW.099f_Drums		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/155	155	156.jpg	/ijcw/image/156.jpg
Say it isn't So												JW.099a_Vocal		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/156	156	157.jpg	/ijcw/image/157.jpg
Say it isn't So	Cohn, Al		1940	y	1 score (7 p.) + 6 parts, includes vocals	Willaims, Joe (1918-1999); Williams, Joe--Archives; Music--Scores; Jazz--Scores;	Joe Williams Collection	International Jazz Collections	University of Idaho Library	MG 005, Container 07, Folder 099	IJC005	JW.099	Arrangement	image/jpg	Image;StillImage	400 dpi, 8-bit depth grayscale JPG; Minolta PS 7000 Scanner, scanned with  Adobe Photoshop CS2 version 9.0.2, Archival Master file is a TIFF	Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.	English			2014-04-17	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/157	157	158.cpd	/ijcw/image/158.cpd
When I Fall in Love												JW.589a_Vocal 1		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/158	158	159.jpg	/ijcw/image/159.jpg
When I Fall in Love												JW.589b_Vocal 2		image/jpg							2009-08-27	2009-08-27	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/159	159	160.jpg	/ijcw/image/160.jpg
