quote,person,image,alt
We all recognized Hamp's greatness the very first day we went to rehearsal.,Louis Armstrong,https://www.ijc.uidaho.edu/hampton_collection/photos/armstrong.jpg,
"It is difficult to find the words to describe the deep sadness that I have today. In our more than 50-year relationship&hellip; Lionel Hampton was a mentor, collaborator and friend to me. Hamp was the consummate jazz artist&hellip; I cut my teeth writing arrangements for Lionel Hampton, and there was no better school in the world than the Lionel Hampton Orchestra. He taught me how to groove and how to laugh and how to hang and how to live like a man.",Quincy Jones,https://www.ijc.uidaho.edu/hampton_collection/photos/thumb_quincy_jones.jpg,
"I remember once I went by the Paramount Theater in New York, and Hamp&#8217;s Big Band was playing there. I had my horn with me and Hamp asked me to come out and play the last number, &#8216;Flying Home.&#8217 They didn&#8217;t tell me that at the end, an explosion would go off and smoke would fill the stage. I&#8217;ve always laughed about that&hellip; Lionel was always learning, always trying something new. He was always thinking about doing something different, musically&hellip; Every time on the bandstand, I would learn something just listening to Hamp. Gates, he&#8217;s something else.",James Moody,https://www.ijc.uidaho.edu/hampton_collection/photos/thumb_james_moody.jpg,
"As long as I can remember, I have known the name of Lionel Hampton. He was always a symbol for this great art form, along with the other greats: Dizzy Gillespie, Charlie Parker and Miles Davis, to name a few&hellip; I first saw Lionel in person in the late 1970s&hellip; here was a man that had truly been blessed, not only with the gift of playing music, but also the ability to communicate his love for the music to so many people.",David Friesen,https://www.ijc.uidaho.edu/hampton_collection/photos/thumb_david_friesen.jpg,
"I remember well the first time I became aware of Lionel Hampton&#8217;s genius. I was a freshman in high school and I heard his recording with Art Tatum&hellip; I had never heard anything like it. Of course, Lionel Hampton is one of the great artists and musicians of all time, a great band leader and without question, the focal figure on his instrument&hellip; Here&#8217;s to you, Hamp. Thanks for all the great music.",Bill Charlap,https://www.ijc.uidaho.edu/hampton_collection/photos/thumb_bill_charlap.jpg
"I was named after Lionel, and I wear that name proudly. My name is Lionel Frederick Cole. There are so many accolades about Lionel and all of them are true. As long as there&#8217;s music, there will be a Lionel Hampton.",Freddy Cole,https://www.ijc.uidaho.edu/hampton_collection/photos/thumb_freddy_cole.jpg,
"Thinking about the times I was on the road with Hamp and I can assure you one thing: when we got on that bandstand it was pure swing. No matter how far we traveled or how tired the band was, Hamp made you swing till you dropped&hellip; I remember we&#8217;d get off a 500 miles bus trip and Hamp would call a rehearsal&hellip; Hamp just loved to play.",Ronnie Cuber,https://www.ijc.uidaho.edu/hampton_collection/photos/thumb_ronnie_cuber.jpg,
"Lionel Hampton was a national treasure. His career represents the very heart and soul of America's music, jazz. That heritage is something we as a nation need to preserve and cherish for generations to come.","George H. W. Bush, 41st President of the USA",https://www.ijc.uidaho.edu/hampton_collection/photos/bush_hamp_sm.jpg,
