title,date,date_is_approximate,performers,instruments,special-guests,adjudicators,description,creator,interviewee,location,digital collection,contributing institution,source,identifier,filename_old,rights,rightsstatement,format_original,type,format,language,reference url,cdmid,contentdm_file_name,objectid,youtubeid,display_template,filename,object_location,image_small,image_thumb,errors
33rd Annual Lionel Hampton Jazz Festival Poster [2],2000,,"Watson, Wally ""Gator"";  Boiarsky, Andres;  Mikami, Kuni;  Fabian, Christian (aka Fabian Bausch);  Hampton, Lionel;  Jones, Hank;  Nash, Lewis;  Bromberg, Brian;  Malone, Russell;  Roy Hargrove Quintet;  Hargrove, Roy;  Irby, Sherman;  Willis, Larry;  Cannon, Gerald;  Jones, Willie, III;  Roditi, Claudio;  Giorgianni, Joe;  Abate, Greg;  Jarvis, Jane;  White, Evelyn;  ManSound;  Mikhnovetsky, Vladimir;  Sukhin, Vladimir;  Trach, Vladimir;  Ponah, Constatin;  Rubel, Vyacheslaw;  Tolmatchev, Ruben;  Allmark, John;  Stowell, John;  Contreras, Billy;  McBride, Christian;  Al Grey Quintet;  Grey, Al;  Cohn, Joe;  Parrish, Matt;  Stewart, Grant;  Durham, Bobby;  Moody, James;  Jensen, Ingrid;  Herwig, Conrad;  Ray Brown Trio;  Brown, Ray;  Keezer, Geoff;  Riggens, Karriem;  Jones, Salena;  Ennis, Ethel;  Reeves, Dianne;  Sanchez, David;  Butman, Igor;  Watrous, Bill;  McDougal, Ian;  Daniels, Dee;  Martinez, Jim;  Cole, Freddy;  Candoli, Pete;  Candoli, Conte;  Cook, Carla",vocals;  trumpet;  piano;  trombone;  saxophone;  bass;  violin;  guitar;  drums;  vibes;  tenor saxophone,"Deffaa, Chip (critic); Elwood, Phil (critic); Wicks, Virginia (publicist)",,"18""x24"" limited edition poster, number 93/150",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhij2000promotional,lhij2000promotional.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/187,187,175.jp2,jazzfest189,,image,jazzfest189.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest189.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest189_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest189_th.jpg,
29th Annual Lionel Hampton Jazz Festival Poster [2],1996,,"Hampton, Lionel;  Ray Brown Trio;  Brown, Ray;  Green, Benny;  Hutchinson, Greg;  Jones, Elvin;  Jones, Hank;  Ellis, Herb;  Jones, Oliver;  Thielemans, Toots;  Bromberg, Brian;  Mikami, Kuni;  Friesen, David;  Abate, Greg;  Krall, Diana;  Butman, Igor;  Fabian, Christian, Fabian (aka Fabian Bausch);  Farmer, Shirley Stewart;  Pizzarelli, John ""Bucky"";  Lovano, Joe;  Ennis, Ethel;  Gene Harris Quartet;  Harris, Gene;  Eschete, Ron;  Humphrey, Paul;  Hughes, Luther;  Hargrove, Roy;  Sanchez, David;  Daniels, Dee;  Margolis, Kitty;  Dorsey, Leon;  Watson, Wally ""Gator"";  Horn, Shirley;  Abeles, Charles;  Williams, Steve;  Puente, Tito;  D'Rivera, Paquito;  Roditi, Claudio;  Hampton, Slide;  Grey, Al;  Roney, Wallace;  Watrous, Bill;  Jarvis, Jane;  Reeves, Dianne;  Friesen, David;  LaVerne,Andy;  Martinez, Jim;  Stowell, John;  Bryant, Lance;  Elwood, Philip F.",saxophone;  guitar;  piano;  vocals;  trombone;  trumpet;  clarinet;  percussion;  drums;  bass;  tenor saxophone;  alto saxophone;  harmonica;  vibes,"Wicks, Virginia (publicist); Elwood, Phil (critic); Deffaa, Chip (critic);",,"18""x24"" limited edition poster, number 38/150",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhij1996promotional,lhij1996promotional.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/188,188,186.jp2,jazzfest190,,image,jazzfest190.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest190.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest190_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest190_th.jpg,
23rd Annual Lionel Hampton-Chevron Jazz Festival Poster,1990,,"Lionel Hampton and Quartet; Hampton, Lionel; Ford, Jimmy; Gallon, Raymond; Machado, Gabriel; Johnson, William; Saarsalu, Lembit; Vintskevich, Leonid; Shilkloper, Arkadi; Karetnikov, Michael; Marsalis, Brandford; Turner, Debbye; Matsui, Keiko; Silveira, Ricardo; Willson, Lisa; Townes, June; Grey, Al; Marsalis, Delfeayo; Hank Jones Trio; Jones, Hank; Holland, Dave; Copeland, Keith; Soloff, Lew; Wilkinson, Sunny; Brown, Patti; Hubbard, Freddie; Fuller, Curtis; Fontana, Carl; Watrous, Bill; Watts, Jeff ""Tain""; Hi-Lo's; Burroughs, Clark; Shelton, Don; Morse, Bob; Puerling, Gene;",vocals; drums; trombone; piano; trumpet; bass; guitar; marimba; french horn; saxophone; percussion; vibes,Debbye Turner (Miss America),,"18""x24"" limited edition poster",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhij1990promotional,lhij1990promotional.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/189,189,184.jp2,jazzfest191,,image,jazzfest191.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest191.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest191_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest191_th.jpg,
27th Annual Lionel Hampton Jazz Festival Poster [2],1994,,"Hampton, Lionel;  Ray Brown Trio;  Brown, Ray;  Hamilton, Jeff;  Green, Benny;  Jones, Elvin;  Ellis, Herb;  Jones, Oliver;  Bromberg, Brian;  DeFranco, Buddy;  Soloff, Lew;  Shilkloper, Arkady;  Ouzonoff, Alexandre;  Brubeck, Matthew;  Widelock, David;  Daniels, Dee;  Margolis, Kitty;  Maeda, Hitoshi;  Sakura, Tomoaki;  Fujii, Mutsuko;  Reese, Della;  D'Rivera, Paquito;  Moody, James;  Abate, Greg;  Primo Kim Quartet;  Kim, Primo;  Zadrozny, Andy;  Slivka, Michael;  Day, Jim;  Hubbard, Freddie;  Roditi, Claudio;  Roney, Wallace;  Gene Harris Quartet;  Harris, Gene;  Eschete, Ron;  Hughes, Luther;  Humphrey, Paul;  Fontana, Carl;  Watrous, Bill;  McDougall, Ian;  Uusitalo, Jeff;  New York Voices;  Eldridge, Peter;  Fox, Caprice;  Kinhan, Lauren;  Meader, Darmon;  Nazarian, Kim;  Exrin, Andy;  Whitman, Ben;  Landau, Randy;  Candoli, Pete;  Candoli, Conte;  Stowell, John;  Feather, Leonard",guitar;  trumpet;  trombone;  vocals;  saxophone;  sanukitaphone;  cello;  bassoon;  horn;  clarinet;  bass;  piano;  drums;  vibes,"Feather, Leonard (critic); Gitler, Ira (critic); Deffaa, Chip (critic); Wicks, Virginia (publicist)",,"18""x24"" limited edition poster, number 28/150",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhij1994promotional,lhij1994promotional.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/190,190,190.jp2,jazzfest192,,image,jazzfest192.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest192.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest192_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest192_th.jpg,
17th Annual University of Idaho Jazz Festival,1986,,"Free Flight;  Walker, Jim;  Leviev, Milcho;  Lacefield, Jim;  Humphrey, Ralph;  Hampton, Lionel;  Perkins, Bill;  Reeves, Dianne;  Vaughan, Sarah",vocals;  saxophone;  vibes;  flute;  keyboards;  bass;  percussion,,,"12""x18"" promotional poster",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhij1984promotional,lhij1984promotional.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/191,191,192.jp2,jazzfest193,,image,jazzfest193.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest193.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest193_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest193_th.jpg,
15th Annual University of Idaho Jazz Festival Poster [4],1982,,"Childers, Buddy; Fitzgerald, Ella; McClure, Barney; Shaw, Kirby; Stentz, Jan; George Shearing and Brian Torff Duo",trumpet; vocals; piano; bass,,,"11""x17"" promotional poster",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhij1982promotional,lhij1982promotional.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/192,192,193.jp2,jazzfest194,,image,jazzfest194.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest194.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest194_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest194_th.jpg,
Clare Bathé Poster,1986,,"Clare Bathé Trio; Bathé, Clare; Shew, Bobby; Reeves, Dianne; Hampton, Lionel; Jacquet, Illinois; Brown, Ray; Harris, Gene; Roker, Mickey; Moody, James; Turrentine, Stanley; Grey, Al; Fontana, Carl; Powell, Benny; Candoli, Pete; Candoli, Conte",trumpet; flugelhorn; vocals; vibes; tenor saxophone; bass; piano; drums; saxophone; trombone;,,,"14""x11"" Clare Bathé performance poster",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhij1986promotional,lhij1986promotional.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/193,193,194.jp2,jazzfest195,,image,jazzfest195.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest195.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest195_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest195_th.jpg,
International Night - Andres Boiarsky [1],1992-02-19,,"Boiarsky, Andres",saxophone,,,35 mm color slide. Andres Boiarsky plays saxophone at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-029,jazz92-international_night-029.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/194,194,382.jp2,jazzfest196,,image,jazzfest196.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest196.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest196_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest196_th.jpg,
53rd Annual Lionel Hampton Jazz Festival Program,2020,,"Shook, Amy; Shook, Pat; Applegate, Erik; Claxton, Brian; Kovalcheck, Steve; Skinner, Kate; Vertical Voices; Dollison, Julia; Marsh, Kerry; Barnes, Jennifer; Jasperse, Greg; Joshua Redman and the 'Still Dreaming' Quartet; Redman, Joshua; King, Dave; Miles, Ron; Colley, Scott; Lionel Hampton Big Band; Marsalis, Jason; Brenner, Adam; Williams, Bruce; Miller, Doug; Higgins, Patience; Stewart, James; Martinez, Anibal; McGowan, Mark; Pitman, Reggie; Cutro, Vinnie; Trowers, Robert; Jeun, Alex; Nelson, Jeff; Mikami, Kuni; Fabian, Christian (aka Fabian Bausch); Gibson, David F.",bass; tenor saxophone; drums; piano; vocals;,,"Aldridge, Al; Baglio, Brennan; Clingan, Kelly Barr; Booth, Annie; Chettri, Navin; Condon, Gabe; Davey, Dan; Gemberling, Gary; Gemberling, Kathleen; Harris, Briana; Heath, Jason; Hollingsworth, Kathleen; Jarvis, Dave; Littlefield, Ed; Lubag, Reuel; Markley, Ben; McLean, Jenna; McCurdy, Robert; Merrell, Emily; Miller, Bob; Ploeger-Hekmatpanah, Kristina; Santelli, Bob; Shook, Lee; Skinner, Lynn; Svendsen, Jacob; Treseler, Steve; Van Paepeghem, Quinn; Van Paepeghem, Shirley; Williamson, Greg; Wilson, Collin; Yasinitsky, Greg; Young, Horace, A.","Event program. Includes artist biographies, concert schedules, performance schedules, workshop and clinic information, and sponsor information.",,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,lhijf2020-prog,lhijf2020-prog.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,poster,Image;StillImage,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/195,195,198.pdf,jazzfest197,,pdf,jazzfest197.pdf,https://objects.lib.uidaho.edu/jazzfest/jazzfest197.pdf,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest197_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest197_th.jpg,
International Night - John Stowell [4],1992-02-19,,"Stowell, John",guitar,,,35 mm color slide. John Stowell plays guitar at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-021,jazz92-international_night-021.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/196,196,280.jp2,jazzfest198,,image,jazzfest198.jpg,https://objects.lib.uidaho.edu/jazzfest/jazzfest198.jpg,https://objects.lib.uidaho.edu/jazzfest/small/jazzfest198_sm.jpg,https://objects.lib.uidaho.edu/jazzfest/thumbs/jazzfest198_th.jpg,
