Collection,contentdm_url,Items,ijc_collection,total_items,compound_objects,image,pdf,MP3,notes
Ray Brown Collection,https://digital.lib.uidaho.edu/digital/collection/ijc_brown/search,17,https://www.ijc.uidaho.edu/brown_ray/,17,0,11,6,0,
Leonard Feather Jazz Collection,https://digital.lib.uidaho.edu/digital/collection/lfc/search,614,https://www.ijc.uidaho.edu/feather_leonard/,614,0,543,30,41,also separate blindfolds test collection
Dizzy Gillespie Collection,https://digital.lib.uidaho.edu/digital/collection/ijcdg/search,18,https://www.ijc.uidaho.edu/gillespie_dizzy/,14,2,16,0,0,
Al Grey-Rosalie Soladar Memorial Collection,https://digital.lib.uidaho.edu/digital/collection/ijcag/search,255,https://www.ijc.uidaho.edu/grey_al/,255,0,255,0,0,
Lionel Hampton Library Collection,https://digital.lib.uidaho.edu/digital/collection/ijcs/search,3669,https://www.ijc.uidaho.edu/hampton_collection/,3603,19,3265,385,0,
Lee Morse Collection,https://digital.lib.uidaho.edu/digital/collection/ijclm/search,105,https://www.ijc.uidaho.edu/morse_lee/,83,11,94,0,0,
Joe Williams Collection,https://digital.lib.uidaho.edu/digital/collection/ijcw/search,147,https://www.ijc.uidaho.edu/williams_joe/,20,20,127,0,0,
